Gene_1,Gene_2
ABCG2,ANXA5
ABCG2,CXCL5
ABCG2,ANTXR2
ABCG2,MMRN1
ABHD18,USO1
ADH1B,USP53
ADH1B,MMRN1
ADH1B,ADH1C
ADH1B,FAM13A
ADH1B,ARSJ
ADH1C,CDS1
ADH5,ANTXR2
ALPK1,GTF2IP12
ALPK1,GPRIN3
ALPK1,ANXA3
ALPK1,INTU
ALPK1,PGRMC2
ANAPC10,HNRNPDL
ANK2,RPL34
ANK2,UNC5C
ANKRD50,CNOT6L
ANKRD50,AREG
ANKRD50,PCDH18
ANXA3,GPRIN3
ANXA3,NPNT
ANXA3,PRKG2
ANXA3,SLC39A8
ANXA5,THAP9
AP1AR,KLHL8
AP1AR,AREG
AREG,LINC01094
AREG,OTUD4
AREG,CDKL2
AREG,CXCL8
AREG,ARHGEF38
AREG,PCDH18
ARSJ,FAM13A
BANK1,DAPP1
BBS12,CDS1
BBS12,OTUD4
BLTP1,ANXA5
BMP2K,MRPL1
BMP2K,HPSE
BMP3,PPM1K
BTC,NPNT
BTC,SYNPO2
BTC,HADH
BTC,USP53
BTC,PRSS12
BTC,PDE5A
BTC,RNF150
C4orf3,PYURF
CASP6,CDKL2
CCNA2,MAD2L1
CCNA2,H2AZ1
CCNA2,PLK4
CCNG2,MAML3
CCNG2,NAP1L5
CCNG2,CAMK2D
CCNI,NAAA
CCNI,HNRNPDL
CCNI,WDFY3-AS2
CDKL2,ARHGEF38
CDKL2,SLC39A8
CDS1,FAM47E
CDS1,PCDH18
CDS1,CDKL2
CDS1,IL15
CDS1,PYURF
CDS1,SHROOM3
CDS1,BMP3
CFI,OSTC
CFI,ALPK1
CFI,BDH2
CFI,ENOPH1
CFI,ZNF330
CFI,PTPN13
CFI,RASGEF1B
CFI,SPRY1
CISD2,HPSE
CNOT6L,PCDH18
COPS4,CCNG2
COPS4,ZNF330
COQ2,LINC01094
COQ2,GPRIN3
COQ2,MANBA
CXCL1,SPRY1
CXCL1,AREG
CXCL1,CXCL8
CXCL10,CXCL11
CXCL2,CXCL5
CXCL2,AREG
CXCL2,CXCL1
CXCL3,CXCL2
CXCL3,CXCL5
CXCL3,NOCT
CXCL3,NAP1L5
CXCL3,CXCL8
CXCL8,NOCT
CXCL9,IL15
CXCL9,NAAA
CXCL9,BMP2K
CXCL9,NPNT
CXCL9,ADH1B
CXCL9,RNF150
CYP2U1,ADH1B
CYP2U1,PLAC8
CYP2U1,MGST2
DAPP1,GPRIN3
DAPP1,FAM13A
DAPP1,ADH5
DAPP1,ELMOD2
DAPP1,SLC39A8
DKK2,ANKRD50
DNAJB14,NOCT
DNAJB14,MAML3
DNAJB14,LIN54
ELMOD2,PPP3CA
ELMOD2,OSTC
EMCN,TMEM150C
EMCN,SCD5
EMCN,PRSS12
ENOPH1,LIN54
ENOPH1,PYURF
ENOPH1,SEPTIN11
ENOPH1,C4orf3
ENOPH1,CAMK2D
FAM13A,CDKL2
FAM13A,USP53
FAM13A,SHROOM3
FAM13A-AS1,ZGRF1
FAM13A-AS1,SEC31A
FAM13A-AS1,INTU
FAM13A-AS1,CDS1
FAM13A-AS1,BLTP1
FAM241A,RNF150
FAM241A,SMAD1
FAM241A,UBE2D3
FAM241A,NAA15
FAT4,USO1
FAT4,UNC5C
FAT4,AFF1
FGF2,HPSE
FGF2,EIF4E
FGF2,ARSJ
FGF2,FAM13A
FGF2,HNRNPDL
FGF2,OTUD4
FGF2,SHROOM3
FRAS1,ANKRD50
FRAS1,MAML3
FRAS1,NPNT
FRAS1,CCNI
FRAS1,SEPTIN11
FRAS1,MMRN1
G3BP2,ABCE1
G3BP2,LIN54
G3BP2,CNOT6L
GAB1,CFI
GAB1,SLC39A8
GAR1,SEC24B
GAR1,HNRNPD
GPRIN3,LINC01094
GYPE,AREG
GYPE,PDE5A
GYPE,SMAD1
GYPE,SCD5
HADH,NAAA
HERC5,PPM1K
HERC5,CCNI
HERC5,H2AZ1
HERC5,HERC6
HERC5,SMAD1
HERC5,STBD1
HERC6,CCNI
HHIP,SGMS2
HHIP,HHIP-AS1
HHIP,SLC39A8
HHIP,BMP3
HHIP,CDS1
HHIP-AS1,SLC39A8
HHIP-AS1,PTPN13
HHIP-AS1,PAQR3
HHIP-AS1,PRKG2
HHIP-AS1,CDS1
HHIP-AS1,CDKL2
HNRNPD,INTU
HNRNPD,CAMK2D
HNRNPD,CCNI
HNRNPD,UBE2D3
HNRNPD,HNRNPDL
HNRNPDL,ANTXR2
HPGDS,BMP2K
HSD17B11,RASSF6
HSD17B11,NUDT9
HSPA4L,NPNT
HSPA4L,CDKL2
INPP4B,UNC5C
INPP4B,PTPN13
INPP4B,CDKL2
INPP4B,BMP3
INTS12,NPNT
JADE1,PGRMC2
JADE1,AFF1
JADE1,USP53
JADE1,CDKL2
JADE1,BMP3
JADE1,GPRIN3
JADE1,FAM13A
JADE1,METAP1
JADE1,AREG
JADE1,ANKRD50
JADE1,PCDH18
JADE1,PDE5A
JADE1,TRAM1L1
JADE1,TET2
JADE1,NDNF
KLHL8,HNRNPDL
LARP7,CDS1
LARP7,ANXA5
LARP7,HNRNPDL
LARP7,HADH
LEF1,CXCL9
LIN54,MGST2
LIN54,PGRMC2
LINC01088,PKD2
LINC01088,SPARCL1
LINC01088,PDE5A
LINC01088,FRAS1
LINC01091,ADH1C
LINC01094,PLAC8
LSM6,BMP2K
MANBA,GPRIN3
MCUB,SPRY1
MCUB,NAAA
MCUB,COX18
MCUB,HPSE
METAP1,LARP1B
METAP1,SEC24B
MFSD8,USO1
MMRN1,PCDH18
MTHFD2L,HNRNPDL
NAA15,NFKB1
NAA15,SEC24B
NAA15,ABCE1
NAAA,ARHGAP24
NAP1L5,NOCT
NAP1L5,PCDH18
NAP1L5,GPAT3
NAP1L5,AREG
NAP1L5,FLJ20021
