Cluster,GWAS genes,Cluster genes
0,FAM13A PPA2 TET2,FGF2 PDLIM5 HADH WDFY3 TET2 MRPS18C AIMP1 PPA2 NAA15 ELF2 USP53 SPARCL1 KLHL8 FAM13A MGST2 DNAJB14 GYPE RASGEF1B ANAPC10 ANTXR2 FRAS1 HELQ CYP2U1 SGMS2 SMARCAD1 LARP1B MANBA
1,PPM1K,MFSD8 GSTCD HERC5 INTS12 GAR1 PAQR3 ZNF330 PF4 HERC6 LIN54 LSM6 C4orf36 SCD5 NFKB1 IL15 MMAA PRSS12 ADH5 PPM1K CCNI COQ2 PLAC8 PDE5A C4orf3 ANXA3 BDH2
2,HHIP NAP1L5,PRKG2 CNOT6L ADH1C CISD2 MTHFD2L HHIP ARSJ CAMK2D SLC39A8 INPP4B SEC24D PTPN13 SLC10A7 PGRMC2 NAP1L5 HERC3 HSPA4L SPATA5 OTUD4 EIF4E ADH1B CDKL2 RAP1GDS1 ANKRD50 GAB1 SETD7
3,,TIFA SYNPO2 TIGD2 SEC24B BANK1 CXCL10 ENPEP ANK2 UBE2D3 SCOC HNRNPD SNCA EMCN HPGDS DKK2 CDS1 USO1 PAPSS1 COPS4 SPP1 CFI HPSE
4,,G3BP2 CASP6 TMEM150C CXCL5 PPP3CA TBCK ANXA5 METAP1 SDAD1 FAT4 CXCL2 RAB33B CXCL11 ABCE1 PPBP C4orf33 ENOPH1 CXCL3 PKD2 PRDM8
5,BTC,AFF1 ARHGAP24 SMARCA5 BMP3 TSPAN5 HSD17B11 MAML3 BTC NUP54 ELMOD2 RPL34 OSTC SCLT1 TRAM1L1 CCNG2 AP1AR
6,NPNT,ELOVL6 NPNT TNIP3 SEC31A RASSF6 CXCL1 MRPL1 BBS12 ANKRD17 NDUFC1 THAP6 GPRIN3 LARP7 USP38 STBD1
7,,METTL14 SMAD1 SCARB2 THAP9 TBC1D9 SHROOM3 INTU ABCG2 CCNA2 CXCL9 PLK4 BMP2K
8,,COX18 MAPK10 EXOSC9 ZNF827 RCHY1 PLA2G12A RNF150 MMRN1 PCDH18
9,,DAPP1 NAAA PRDM5 SPRY1 NUDT9 MAD2L1 ALPK1
